objectid,subject,filename,title,format,LEGALNAME,ALTNAME,AKADBA,ADSTREET,ADCITY,ADSTATE,ADZIP,ADZIP5,PHSTREET,PHCITY,PHSTATE,PHZIP,PHZIP5,PHONE,WEBURL,IRS_NAME15,TAXPER15,INCOMECD15,INCOME15,REVENUE15,IRS_STREET15,IRS_CITY15,IRS_STATE15,IRS_ZIP15,RULEDATE15,IPEDS,INSTNAME,INSTCITY,INSTST,LONGITUDE,LATITUDE,AAMREG,BEAREG,LOCALE4,FIPSST,FIPSCO,GSTREET,GCITY,GSTATE,GZIP,GZIP5
8403602197,HSC,demo_001.jpg,PHILADELPHIA HISTORICAL SOCIETY,image/jpeg,PHILADELPHIA HISTORICAL SOCIETY,,,64 MAIN STREET,PHILADELPHIA,NY,13673,13673,,,,,,,,PHILADELPHIA HISTORICAL SOCIETY,201312,0,0,0,64 MAIN STREET,PHILADELPHIA,NY,13673-0000,201102,,,,,-75.70492,44.15939,2,2,4,36,45,64 MAIN STREET,PHILADELPHIA,NY,13673-0000,13673
8404200163,HSC,demo_001.jpg,LEMON HILL MANSION,image/jpeg,FRIENDS OF LEMON HILL,,,LEMON HILL DRIVE,PHILADELPHIA,PA,19130,19130,SEDGLEY DRIVE & LEMON HILL DR,PHILADELPHIA,PA,19130,19130,2152324337,HTTP://WWW.LEMONHILL.ORG/,FRIENDS OF LEMON HILL,201403,0,0,0,149 SPLITRAIL LN,BLUE BELL,PA,19422-2469,199907,,,,,-75.17146,39.96687,2,2,1,42,,SEDGLEY DRIVE & LEMON HILL DR,PHILADELPHIA,PA,19130,19130
8404200165,HSC,demo_001.jpg,HISTORIC STRAWBERRY MANSION,image/jpeg,COMMITTEE OF 1926,,,2450 STRAWBERRY MANSION DR,PHILADELPHIA,PA,19132,19132,2450 STRAWBERRY MANSION DR,PHILADELPHIA,PA,19132,19132,2152288364,HTTP://WWW.HISTORICSTRAWBERRYMANSION.ORG,COMMITTEE OF 1926,201403,5,534523,190741,PO BOX 539,MOORESTOWN,NJ,08057-0539,195303,,,,,-75.18631,39.99315,2,2,1,42,101,2450 STRAWBERRY MANSION DR,PHILADELPHIA,PA,19132,19132
8404200178,HSC,demo_001.jpg,JAPANESE HOUSE AND GARDEN,image/jpeg,FRIENDS OF THE JAPANESE HOUSE AND GARDEN,,SHOFUSO JAPANESE HOUSE AND GARDEN,4700 STATES DRIVE,PHILADELPHIA,PA,19131,19131,4700 STATES DRIVE,PHILADELPHIA,PA,19131,19131,2158785097,HTTP://WWW.JAPANESEHOUSE.ORG,FRIENDS OF THE JAPANESE HOUSE AND GARDEN,201312,4,239591,231476,5070 PARKSIDE AVENUE SUI,PHILADELPHIA,PA,19131-4747,198306,,,,,-75.21948,39.98278,2,2,1,42,101,4700 STATES DRIVE,PHILADELPHIA,PA,19131,19131
8404200187,HSC,demo_001.jpg,FOUNDER'S HALL-STEPHEN GIRARD COLLECTION,image/jpeg,FOUNDER'S HALL-STEPHEN GIRARD COLLECTION,,,2101 S COLLEGE AVENUE,PHILADELPHIA,PA,19121,19121,2101 SOUTH COLLEGE AVENUE,PHILADELPHIA,PA,19121,19121,2157872600,HTTP://WWW.GIRARDCOLLEGE.EDU/PAGE.CFM?P=1,,,,,,,,,,,,,,,-75.17119,39.97523,2,2,1,42,101,2101 SOUTH COLLEGE AVENUE,PHILADELPHIA,PA,19121,19121
8404200419,HSC,demo_001.jpg,FORT MIFFLIN ON THE DELAWARE,image/jpeg,FORT MIFFLIN ON THE DELAWARE,,,1 FORT MIFFLIN RD,PHILADELPHIA,PA,19153-3901,19153,82 FORT MIFFLIN ROAD,PHILADELPHIA,PA,19153-3901,19153,2156854167,HTTP://WWW.FORTMIFFLIN.US/,FORT MIFFLIN ON THE DELAWARE,201311,4,241573,215722,1 FORT MIFFLIN RD,PHILADELPHIA,PA,19153-3901,198612,,,,,-75.21034,39.89344,2,2,1,42,101,82 FORT MIFFLIN ROAD,PHILADELPHIA,PA,19153-3901,19153
8404201685,HSC,demo_001.jpg,FAIRMOUNT WATER WORKS,image/jpeg,FUND FOR THE WATER WORKS,,FAIRMOUNT WATER WORKS,PO BOX 21601,PHILADELPHIA,PA,19131-0901,19131,640 WATERWORKS DR,PHILADELPHIA,PA,19131-0901,19131,2156850723,HTTP://FAIRMOUNTWATERWORKS.ORG/SUPPORT/,FUND FOR THE WATER WORKS,201312,3,40148,40148,PO BOX 21601,PHILADELPHIA,PA,19131-0000,199804,,,,,-75.18616,39.9708,2,2,1,42,101,640 WATERWORKS DR,PHILADELPHIA,PA,19131-0901,19131
8404200010,HSC,demo_001.jpg,WOODFORD MANSION,image/jpeg,WOODFORD MANSION,,,2300 N 33RD ST,PHILADELPHIA,PA,19132,19132,,,,,,2152296115,HTTP://WWW.WOODFORDMANSION.ORG,,,,,,,,,,,,,,,-75.16671,39.99498,2,2,1,42,101,2300 N 33RD ST,PHILADELPHIA,PA,19132,19132
8404200040,HSC,demo_001.jpg,THOMAS EAKINS HOUSE,image/jpeg,THOMAS EAKINS HOUSE,,,1729 MOUNT VERNON ST,PHILADELPHIA,PA,19130,19130,,,,,,2152357475,HTTP://WWW.MURALARTS.ORG/,,,,,,,,,,,,,,,-75.16636,39.96536,2,2,1,42,101,1729 MOUNT VERNON ST,PHILADELPHIA,PA,19130,19130
8404200077,HSC,demo_001.jpg,PHILADELPHIA SHIP PRESERVATION GUILD,image/jpeg,PHILADELPHIA SHIP PRESERVATION GUILD,,,301 S COLUMBUS BLVD,PHILADELPHIA,PA,19106,19106,,,,,,2152380280,HTTP://PHILASHIPGUILD.ORG/,PHILADELPHIA SHIP PRESERVATION GUILD,201312,4,166553,166553,301 S COLUMBUS BLVD,PHILADELPHIA,PA,19106-4328,197306,,,,,-75.14229,39.94286,2,2,1,42,101,301 S COLUMBUS BLVD,PHILADELPHIA,PA,19106-4328,19106
8404200088,HSC,demo_001.jpg,PAUL ROBESON HOUSE,image/jpeg,PAUL ROBESON HOUSE,,,4951 WALNUT ST,PHILADELPHIA,PA,19139,19139,,,,,,2154741378,,PAUL ROBESON HOUSE,201212,0,0,0,110 WITHERSPOON ST,PRINCETON,NJ,08542-3224,201303,,,,,-74.66124,40.3529,2,2,2,34,21,110 WITHERSPOON ST,PRINCETON,NJ,08542-3224,8542
